date,ticker,score,anbefaling,trend_regime,technical_score,fundamental_score,fundamental_history_score,relative_strength_20d,kurs,stop_loss,trailing_stop_loss
2026-06-04,MSFT,100,HOLD / OBSERVER,STERK OPPTREND,70,90,95,-2.04,426.74,392.6,407.41
2026-06-04,META,93,HOLD / OBSERVER,MODERAT OPPTREND,55,90,100,-1.43,629.3,578.96,619.59
2026-06-04,AAPL,92,KJØP / ØK,STERK OPPTREND,65,60,75,4.75,311.02,286.14,280.14
2026-06-04,VOLV-B.ST,80,HOLD / OBSERVER,STERK OPPTREND,70,0,48,-1.38,325.8,299.74,317.44
2026-06-04,NOVO-B.CO,73,HOLD / OBSERVER,MODERAT OPPTREND,35,90,100,-0.75,283.85,261.14,264.4
2026-06-04,DNB.OL,72,HOLD / OBSERVER,SVAK / NEGATIV TREND,55,25,58,1.51,285.4,262.57,290.69
2026-06-04,GOOGL,63,HOLD / OBSERVER,MODERAT OPPTREND,25,90,100,-9.76,372.93,343.1,352.96
2026-06-04,NVDA,61,HOLD / OBSERVER,MODERAT OPPTREND,25,80,100,-0.22,218.36,200.89,202.91
2026-06-04,AMZN,59,HOLD / OBSERVER,MODERAT OPPTREND,25,75,95,-9.84,253.86,233.55,250.47
2026-06-04,EQNR.OL,37,UNNGÅ / SELG,SVAK / NEGATIV TREND,25,40,20,0.55,351.9,323.75,365.7
2026-06-04,TSLA,34,UNNGÅ / SELG,MODERAT OPPTREND,25,10,37,-1.63,419.31,385.77,395.2
